Name,Sell Price (Regular),Sell Price (Silver),Sell Price (Gold),Minimum Cost,Cost Location,Harvest Time,Regrowth Rate,Notes
Amaranth,150,187,225,70,Pierre's,7,0,
Artichoke,160,200,240,30,Pierre's,8,0,Available from year 2+.
Beet,100,125,150,20,Oasis,6,0,
Bok Choy,80,100,120,50,Pierre’s,4,0,
Cranberries,75,93,112,240,Pierre’s,7,5,"Yields 2 berries at harvest, with a small random chance for more berries. Keeps producing after maturity."
Eggplant,60,75,90,20,Pierre’s,5,5,"Keeps producing after maturity. When harvested, each Eggplant bush gives 1 Eggplant every 5 days, with a very small random chance for more Eggplants."
Fairy Rose,290,362,435,200,Pierre’s,12,0,
Grape,80,100,120,60,Pierre’s,10,3,"Grapes use a trellis, and continue to produce after maturity."
Pumpkin,320,400,480,100,Pierre’s,13,0,Pumpkins can become a Giant Crop.
Yam,160,200,240,60,Pierre’s,10,0,
